,PAY_AMT1,PAY_AMT4,BILL_AMT2,MARRIAGE,AGE,PAY_AMT3,PAY_6,BILL_AMT4,PAY_4,EDUCATION,BILL_AMT6,PAY_2,SEX,BILL_AMT1,PAY_AMT5,PAY_0,PAY_AMT2,PAY_5,BILL_AMT5,PAY_AMT6,PAY_3,BILL_AMT3,LIMIT_BAL,ks,ks_validation1,c
14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.048337891526009556,0.0,0.0,0.0459610570583266,0.0,0.0,0.0,0.7314325081896716,0.0,0.03514356734313545,0.0,0.0,0.1483239813834467,0.0,0.0,0.4013091964175422,0.4013091964175422,0.001193776641714437
15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08327758369827927,0.0,0.0,0.06841587512287918,0.0,0.0,0.0,0.7350528015835074,0.0,0.06470577998083443,0.0,0.0,0.1295970618892258,0.0,0.06211463087096629,0.40626937843200445,0.40626937843200445,0.0014251026703029992
16,0.029733046906800044,0.0,0.0,0.0,0.0,0.0,0.006908889354124218,0.0,0.10794836331838994,0.0,0.0,0.07145945678526214,0.0,0.0,0.0,0.7323550658122201,0.06464012180697169,0.07716647985745444,0.0,0.0,0.1354194561645483,0.0,0.12541226318070364,0.4113956557638171,0.4113956557638171,0.0017012542798525892
17,0.08268429757568675,0.0,0.0,0.0,0.0,0.0,0.02985511897115725,0.0,0.10876615162023509,0.0,0.0,0.05219263239800292,0.0,0.0,0.0,0.7348224197437295,0.10414608757105598,0.10180247195460963,0.0,0.0,0.15518050805271996,0.0,0.17748192561596904,0.41185377234508325,0.41185377234508325,0.002030917620904735
18,0.10511565408516557,0.0,0.0,0.0,0.0,0.07030873890285079,0.06041915149154009,0.0,0.09712501045136303,0.0,0.0,0.04885028576602452,0.0,0.0,0.0,0.7355851231223952,0.12283597596944001,0.1191780919368664,0.0,0.0,0.16404003282369076,0.0,0.21550252904364983,0.41239145369160385,0.41239145369160385,0.0024244620170823282
19,0.11766777448655445,0.0,0.0,0.0,0.0,0.09434270164163078,0.07571797342728581,0.0,0.11961305919866104,0.0,0.0,0.05904635990533496,0.0,0.0,0.0,0.7317197433694684,0.16595963042502637,0.12931146354608658,0.0,0.0,0.14779456448783213,0.0,0.2512758171911259,0.4122166898395176,0.4122166898395176,0.0028942661247167516
20,0.16420548690607034,0.0,0.0,0.0,0.0,0.13159535905543623,0.09561173128498814,0.0,0.10511143404038381,0.0,0.0,0.0366544692898734,0.0,0.0,0.0,0.7343073183773198,0.16516566008347325,0.14527790529655354,0.0,0.0,0.17881733933050992,0.0,0.27795822484935745,0.41059745398942993,0.41059745398942993,0.003455107294592218
21,0.15172434314473027,0.0,0.0,0.0,0.0,0.15675544963333066,0.10998531344665309,0.0,0.12101306851957808,0.0,0.0,0.06083207918343135,0.0,0.0,0.0,0.732074049523566,0.2081590444365182,0.15338770212200797,0.0,0.0,0.14675665294601292,0.0,0.3002362535583296,0.4114722020214404,0.4114722020214404,0.004124626382901352
22,0.19501475834162224,0.02663886626358922,0.0,0.0,0.0,0.1766479473367454,0.13235920599302672,0.0,0.11346771670315943,0.0,0.0,0.03186022992819632,0.0,0.0,0.0,0.7381188975286578,0.19131252633742707,0.15016297495306807,0.0,0.0,0.18433349761507023,0.0,0.3238598197460843,0.4110210512270156,0.4110210512270156,0.004923882631706742
23,0.17379226411362908,0.05003558561134349,0.0,0.0,0.0,0.19515101315117184,0.1508233393259745,0.0,0.13001142398115784,0.0,0.0,0.06324433545024435,0.0,0.0,0.0,0.7313852678560854,0.2225462642304992,0.14147027009679125,0.0,0.0036744814757892785,0.15410410332224656,0.0,0.33894013062623446,0.41087399572703154,0.41087399572703154,0.0058780160722749115
